"Date.Time","Year","Month","Day","Time","Temp"
"2003-01-09 20:00",2003,1,9,"20:00",-0.2
"2003-01-09 21:00",2003,1,9,"21:00",-3.3
"2003-01-09 22:00",2003,1,9,"22:00",-3.1
"2003-01-09 23:00",2003,1,9,"23:00",-3.9
"2003-01-10 00:00",2003,1,10,"00:00",-4.4
"2003-01-10 01:00",2003,1,10,"01:00",-5.4
"2003-01-10 02:00",2003,1,10,"02:00",-6.2
"2003-01-10 03:00",2003,1,10,"03:00",-8.5
"2003-01-10 04:00",2003,1,10,"04:00",-8.3
"2003-01-10 05:00",2003,1,10,"05:00",-9.2
"2003-01-10 06:00",2003,1,10,"06:00",-10.6
"2003-01-10 07:00",2003,1,10,"07:00",-10.7
"2003-01-10 08:00",2003,1,10,"08:00",-9.2
"2003-01-10 09:00",2003,1,10,"09:00",-7.5
"2003-01-10 10:00",2003,1,10,"10:00",-6.1
"2003-01-10 11:00",2003,1,10,"11:00",-5.4
"2003-01-10 12:00",2003,1,10,"12:00",-4.2
"2003-01-10 13:00",2003,1,10,"13:00",-3.6
"2003-01-10 14:00",2003,1,10,"14:00",-3.8
"2003-01-10 15:00",2003,1,10,"15:00",-5.7
"2003-01-10 16:00",2003,1,10,"16:00",-5.6
"2003-01-10 17:00",2003,1,10,"17:00",-7.1
"2003-01-10 18:00",2003,1,10,"18:00",-9.1
"2003-01-10 19:00",2003,1,10,"19:00",-8.5
"2003-01-10 20:00",2003,1,10,"20:00",-8.5
"2003-01-10 21:00",2003,1,10,"21:00",-9.5
"2003-01-10 22:00",2003,1,10,"22:00",-9.3
"2003-01-10 23:00",2003,1,10,"23:00",-8.8
"2003-01-11 00:00",2003,1,11,"00:00",-8.4
"2003-01-11 01:00",2003,1,11,"01:00",-7.7
"2003-01-11 02:00",2003,1,11,"02:00",-7.2
"2003-01-11 03:00",2003,1,11,"03:00",-6.5
"2003-01-11 04:00",2003,1,11,"04:00",-6.9
"2003-01-11 05:00",2003,1,11,"05:00",-6.5
"2003-01-11 06:00",2003,1,11,"06:00",-6.5
"2003-01-11 07:00",2003,1,11,"07:00",-6.3
"2003-01-11 08:00",2003,1,11,"08:00",-6.2
"2003-01-11 09:00",2003,1,11,"09:00",-5.8
"2003-01-11 10:00",2003,1,11,"10:00",-5.4
"2003-01-11 11:00",2003,1,11,"11:00",-4.9
"2003-01-11 12:00",2003,1,11,"12:00",-4.7
"2003-01-11 13:00",2003,1,11,"13:00",-4.8
"2003-01-11 14:00",2003,1,11,"14:00",-4.7
"2003-01-11 15:00",2003,1,11,"15:00",-4.5
"2003-01-11 16:00",2003,1,11,"16:00",-4.7
"2003-01-11 17:00",2003,1,11,"17:00",-5.4
"2003-01-11 18:00",2003,1,11,"18:00",-5.8
"2003-01-11 19:00",2003,1,11,"19:00",-5.7
"2003-01-11 20:00",2003,1,11,"20:00",-5.5
"2003-01-11 21:00",2003,1,11,"21:00",-5.2
"2003-01-11 22:00",2003,1,11,"22:00",-5.1
"2003-01-11 23:00",2003,1,11,"23:00",-5.1
"2003-01-12 00:00",2003,1,12,"00:00",-4.8
"2003-01-12 01:00",2003,1,12,"01:00",-4.8
"2003-01-12 02:00",2003,1,12,"02:00",-4.6
"2003-01-12 03:00",2003,1,12,"03:00",-4.2
"2003-01-12 04:00",2003,1,12,"04:00",-5.1
"2003-01-12 05:00",2003,1,12,"05:00",-7.1
"2003-01-12 06:00",2003,1,12,"06:00",-7.7
"2003-01-12 07:00",2003,1,12,"07:00",-6.3
"2003-01-12 08:00",2003,1,12,"08:00",-5.6
"2003-01-12 09:00",2003,1,12,"09:00",-5.1
"2003-01-12 10:00",2003,1,12,"10:00",-2.9
"2003-01-12 11:00",2003,1,12,"11:00",-2.4
"2003-01-12 12:00",2003,1,12,"12:00",-2.3
"2003-01-12 13:00",2003,1,12,"13:00",-2.4
"2003-01-12 14:00",2003,1,12,"14:00",-2.9
"2003-01-12 15:00",2003,1,12,"15:00",-3.3
"2003-01-12 16:00",2003,1,12,"16:00",-4.1
"2003-01-12 17:00",2003,1,12,"17:00",-4.6
